Single Node,Value,,16384,8192,4096,2048,1024,512,256,128,64,32,16,8,4,2,1,
,Bit,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,Prefix Value
,None,1,,,,,,,,,,,,,1,0,0,6
x,First Node,1,,,,,,,,,,,,,1,1,1,7
,Second Node,1,,,,,,,,,,,,1,0,0,1/0,8
,Third Node,1,,,,,,,,,,,1,0,1,1/0,1/0,10
x,Fourth Node,1,,,,,,,,,,,1,1,1,1/0,1/0,14
,Fifth Node,1,,,,,,,,,,1,0,0,1/0,1/0,1/0,16
,Sixth Node,1,,,,,,,,,1,0,1,1/0,1/0,1/0,1/0,20
x,Seventh Node,1,,,,,,,,,1,1,1,1/0,1/0,1/0,1/0,28
,Eighth Node,1,,,,,,,,1,0,0,1/0,1/0,1/0,1/0,1/0,32
,Ninth Node,1,,,,,,,1,0,1,1/0,1/0,1/0,1/0,1/0,1/0,40
x,Tenth Node,1,,,,,,,1,1,1,1/0,1/0,1/0,1/0,1/0,1/0,56
,Eleventh Node,1,,,,,,1,0,0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,64
x,Twelfth Node,1,,,,,,1,1,1,1/0,1/0,1/0,1/0,1/0,1/0,1/0,112
,Thirteenth,1,,,,,1,0,0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,128
,Fourteenth,1,,,,1,0,1,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,160
x,Fifteenth,1,,,,1,1,1,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,224
,Sixteen,1,,,1,0,0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,256
,Seventeen,1,,1,0,1,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,320
x,Eighteen,1,,1,1,1,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,448
,Ninteen,1,1,0,0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,512
x,Twenty,1,1,1,1,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,1/0,896
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1/0 Node,,,,,19,17,16,14,13,11,9,8,6,5,3,2,
,Represents,,,,,,,,,,,,,,,,,
,L/R node at,,,,,,,,,,,,,,,,,
,Place,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
111,Next node flipped,,,,,,,,,,,,,,,,,
100,First dual node,,,,,,,,,,,,,,,,,
101,Second dual node,,,,,,,,,,,,,,,,,